FirstDepositAddr;ValidatorCount;DepositAddrCount;WithdrawalCreds;_pool
0xb15c2979acfb1fd8a4f1ac75a88f61834682cba3;300;1;300;300 x solo
0x31a47094c6325d357c7331c621d6768ba041916e;300;1;201;300 x Abyss
0xb8ed9ea221bf33d37360a76ddd52ba7b1e66aa5c;300;1;300;300 x Rocketpool
0x663cbbd93b5ee095ac8386c2a301eb1c47d73aa9;300;1;300;300 x Rocketpool
0x7c5d0950584f961f5c1054c88a71b01207bf9cb7;300;1;300;300 x Rocketpool
0x895f6558f0b02f95f48ef0d580ec885056dcccc6;300;1;300;300 x Rocketpool
0xca317a4eccbe0dd5832de2a7407e3c03f88b2cdd;300;1;300;300 x Rocketpool
0x48e40cc520fcac4dc56852adc51e3894cd9a1764;300;1;173;300 x Abyss
0xacb7cfb56d6835d9e2fa3e3f273a0450468082d9;300;1;300;300 x Rocketpool
0x22ffba127f6741a619fa145516ef4d94b90f093a;300;1;300;300 x Rocketpool
0x94e54e7dac92f96631d15c6119d329dbb778b764;300;3;1;300 x solo
0xa54a851c3be19c5ebee8bd277ee680f35526176b;300;4;1;300 x solo
0x10d5b0e279e5e4c1d1df5f57dfb7e84813920a51;298;1;298;298 x solo
0xb8cbbf78c7ad1cdf4ca0e111b35491f3bfe027ac;283;1;1;283 x solo
0xd85141098c908be5d06488b18a3af18aa6b01338;282;1;1;282 x Staked.us
0xbd9d540f6a671d4280d81127de555a7d8ce7e204;281;1;1;281 x solo
0x7a71b7db088067c1d7063ef5f6920b041f0c9d40;280;2;1;280 x solo
0x48bbf1c68037bf35b0eb090f1b5e0fa52f690502;280;1;1;3 x solo,277 x Abyss
0xd91eecc267ff626399798040d88de62c9e70acf0;277;1;277;277 x Rocketpool
0x84ba027280cc6cc1e592a01270c5f21a494f46cb;276;1;276;276 x Rocketpool
0xe5dac5a0e4daca465a77eac742f46919e02e187e;274;1;1;274 x solo
0x1d65e5bbeec51047b796f2cfc1ac519ce5b023a7;270;1;2;270 x solo
0x6d0d3b1526f7ead1be9e57df4bd29d93974aebed;265;1;265;265 x Staked.us
0x82926e563743d6b109dd514a0cdd5a2bc96efd8c;264;1;9;264 x solo
0x6e16cbd8bed3d6577487a1376d8aa94fba5a09f0;263;1;263;263 x solo
0x6ed60d1b94b0bb67dca1c3e69b4ee2f2ef10136f;256;1;1;256 x Abyss
0x8707eeee601c52da5c45e1da21e4003464399c0c;251;1;1;251 x Staked.us
0xabc912d1da1d70479ac687c133d3269fec0a1b3f;250;1;1;250 x solo
0x1b63142628311395ceafeea5667e7c9026c862ca;250;1;1;250 x solo
0x0d1ceec0b07e9573cdc7eeca5f85d505bb366457;250;3;1;250 x solo
0xc607e0b3de5a2da4726e194c802467892e83ee35;250;1;1;250 x solo
0x2b5c4f9867c1300a2e4251feee40f99126f698ae;242;1;242;242 x Rocketpool
0xae3fadd231c8fb2b2c756987ecb582963405d018;241;1;1;241 x solo
0x8d874f5a07df691bc8e56818ca1ebc6027b60d51;240;1;1;240 x solo
0xd714338098daaf32e46a20ff1293f57eff04dcca;240;1;240;240 x Rocketpool
0x2ed8eb76c91fa25b21d588128569dbc2f885e511;239;1;2;239 x solo
0xb5253eebe4d3adcfb6eb4feb9417d19d42197485;239;239;1;239 x solo
0x010af29077a8520cc3f55be2031d7e37808ba137;239;1;3;239 x solo
0x66bbafc7269f1a9e5b454445585275f2b4ead28e;231;1;1;231 x solo
0x295acf604d92bcfbf628de6687e9e16410d44e1d;231;2;1;231 x solo
0x00ecc96508d299fa8d228d569d8582980c1bc75e;230;1;1;230 x solo
0x5fc60576b92c5ce5c341c43e3b2866eb9e0cddd1;229;4;69;229 x solo
0x278b58f60d9f3298fd2716f612e81a23425957e3;225;1;1;225 x solo
0xce0d97b44c939fafb539295e357d3bdde4e7c733;225;12;1;225 x solo
0xf204c238e6f165c40e763fc62461596786a499eb;221;3;1;221 x solo
0x1f92ee8cf6483677c0c6381c48e2bf272764f0cc;220;1;220;220 x Rocketpool
0x1db3439a222c519ab44bb1144fc28167b4fa6ee6;218;1;218;218 x solo
0x845d6b25cd3346b55c29f3e4e5f5c952918d489d;218;1;218;218 x Staked.us
0xfe8236b3f3182106814bd177445c81c6732cbd80;217;1;1;217 x Abyss
0xcb2a66540680c344bab5f818d68c3e4b9d57363b;215;1;1;215 x solo
